gouvernorat,delegation,prix,superficie,chambres,salle_de_bains,etat,etage
tunis,Ain Zaghouan,530000.0,160,2.0,2.0,Nouveau,
tunis,Ariana Ville,564000.0,115,2.0,2.0,Nouveau,
tunis,Ariana Ville,280000.0,170,3.0,3.0,1-5 ans,
tunis,Ariana Ville,790000.0,153,3.0,2.0,Bon état,
tunis,Ain Zaghouan,1600000.0,120,2.0,2.0,Nouveau,
tunis,Le Bardo,750000.0,97,2.0,1.0,10-20 ans,4ème
tunis,Ariana Ville,260000.0,230,3.0,2.0,Bon état,
tunis,Ariana Ville,680000.0,200,3.0,2.0,1-5 ans,
tunis,Ain Zaghouan,780000.0,102,2.0,1.0,Nouveau,
tunis,Aouina,437000.0,100,2.0,1.0,Nouveau,
tunis,Gammarth,590000.0,120,1.0,1.0,Bon état,1er
tunis,Ariana Ville,668000.0,172,4.0,3.0,Moins d'un an,
tunis,Ariana Ville,304000.0,99,2.0,2.0,Moins d'un an,
tunis,Ariana Ville,620000.0,136,3.0,3.0,Moins d'un an,
tunis,Ariana Ville,1157379.3057024556,126,2.0,2.0,Nouveau,
tunis,Cite El Khadra,635000.0,160,3.0,1.0,Bon état,2ème
tunis,Ariana Ville,990000.0,136,3.0,3.0,Moins d'un an,
tunis,Les Berges Du Lac,410000.0,289,3.0,3.0,Moins d'un an,4ème
tunis,Ain Zaghouan,110000.0,167,3.0,3.0,Moins d'un an,2ème
tunis,Ariana Ville,570000.0,200,3.0,2.0,Bon état,
tunis,Ariana Ville,550000.0,70,1.0,1.0,Bon état,
tunis,Ariana Ville,400000.0,100,,,,
tunis,Bab Bhar,415000.0,41,2.0,1.0,Bon état,1er
tunis,Ariana Ville,470000.0,75,,,,
tunis,Ariana Ville,390000.0,155,3.0,2.0,5-10 ans,3ème
tunis,Ariana Ville,245000.0,68,2.0,1.0,10-20 ans,2ème
tunis,Ariana Ville,250000.0,115,2.0,2.0,Bon état,
tunis,El Manar,820000.0,180,3.0,2.0,20-30 ans,
tunis,Ain Zaghouan,175000.0,206,2.0,2.0,10-20 ans,
tunis,Ain Zaghouan,210000.0,43,1.0,1.0,Moins d'un an,
tunis,Aouina,1320000.0,109,2.0,1.0,10-20 ans,6ème
tunis,Les Berges Du Lac,450000.0,180,3.0,3.0,5-10 ans,3ème
