delegation,superficie,chambres,salle_de_bains,etat,etage,gouvernorat_ariana,gouvernorat_ben-arous,gouvernorat_la-manouba,gouvernorat_tunis,prix
35.0,122,2,2,9,3,0.0,0.0,0.0,1.0,400000.0
36.0,162,2,1,9,1,0.0,0.0,0.0,1.0,825000.0
37.0,138,2,2,10,1,0.0,0.0,0.0,1.0,692500.0
37.0,149,2,1,10,1,0.0,0.0,0.0,1.0,972000.0
37.0,138,2,1,10,1,0.0,0.0,0.0,1.0,531552.0
36.0,112,2,1,9,1,0.0,0.0,0.0,1.0,398000.0
19.0,137,2,1,9,1,0.0,0.0,0.0,1.0,300000.0
36.0,163,3,2,10,1,0.0,0.0,0.0,1.0,825000.0
19.0,93,2,1,7,1,0.0,0.0,0.0,1.0,270000.0
19.0,100,3,1,11,2,0.0,0.0,0.0,1.0,260000.0
35.0,160,2,2,10,1,0.0,0.0,0.0,1.0,865000.0
36.0,170,3,3,8,1,0.0,0.0,0.0,1.0,788000.0
36.0,153,3,2,11,1,0.0,0.0,0.0,1.0,530000.0
35.0,120,2,2,10,1,0.0,0.0,0.0,1.0,564000.0
19.0,97,2,1,6,4,0.0,0.0,0.0,1.0,280000.0
36.0,230,3,2,11,1,0.0,0.0,0.0,1.0,790000.0
36.0,200,3,2,8,1,0.0,0.0,0.0,1.0,1600000.0
35.0,102,2,1,10,1,0.0,0.0,0.0,1.0,750000.0
26.0,100,2,1,10,1,0.0,0.0,0.0,1.0,260000.0
37.0,120,1,1,11,1,0.0,0.0,0.0,1.0,680000.0
36.0,172,4,3,9,1,0.0,0.0,0.0,1.0,780000.0
36.0,99,2,2,9,1,0.0,0.0,0.0,1.0,437000.0
36.0,136,3,3,9,1,0.0,0.0,0.0,1.0,590000.0
36.0,126,2,2,10,1,0.0,0.0,0.0,1.0,668000.0
29.0,160,3,1,11,2,0.0,0.0,0.0,1.0,304000.0
36.0,136,3,3,9,1,0.0,0.0,0.0,1.0,620000.0
35.0,167,3,3,9,2,0.0,0.0,0.0,1.0,635000.0
36.0,200,3,2,11,1,0.0,0.0,0.0,1.0,990000.0
36.0,70,1,1,11,1,0.0,0.0,0.0,1.0,410000.0
36.0,100,2,1,9,1,0.0,0.0,0.0,1.0,340000.0
25.0,41,2,1,11,1,0.0,0.0,0.0,1.0,110000.0
36.0,75,2,1,9,1,0.0,0.0,0.0,1.0,570000.0
36.0,155,3,2,7,3,0.0,0.0,0.0,1.0,550000.0
36.0,68,2,1,6,2,0.0,0.0,0.0,1.0,400000.0
36.0,115,2,2,11,1,0.0,0.0,0.0,1.0,415000.0
31.0,180,3,2,5,1,0.0,0.0,0.0,1.0,470000.0
35.0,206,2,2,6,1,0.0,0.0,0.0,1.0,390000.0
35.0,43,1,1,9,1,0.0,0.0,0.0,1.0,245000.0
26.0,109,2,1,6,6,0.0,0.0,0.0,1.0,250000.0
38.0,180,3,3,7,3,0.0,0.0,0.0,1.0,820000.0
26.0,73,1,1,6,3,0.0,0.0,0.0,1.0,175000.0
23.0,97,2,1,6,6,0.0,0.0,0.0,1.0,210000.0
36.0,185,3,3,9,1,0.0,0.0,0.0,1.0,1320000.0
36.0,83,2,1,9,3,0.0,0.0,0.0,1.0,450000.0
36.0,300,4,3,8,4,0.0,0.0,0.0,1.0,3000000.0
36.0,30,2,1,8,10,0.0,0.0,0.0,1.0,680000.0
